number,difficulty,codeLength,timestamp,elapsed
2580147,215939104,196,1717249380,3.0
2580148,216149982,196,1717249382,2.0
2580149,216361065,200,1717249388,6.0
2580150,215727195,196,1717249422,34.0
2580151,215937866,196,1717249423,1.0
2580152,215516114,196,1717249446,23.0
2580153,215726578,196,1717249447,1.0
2580154,215726578,196,1717249462,15.0
2580155,215937248,196,1717249463,1.0
2580156,216148124,196,1717249464,1.0
2580157,215937042,196,1717249483,19.0
2580158,216147918,196,1717249488,5.0
2580159,216358999,200,1717249494,6.0
2580160,216570287,200,1717249500,6.0
2580161,216570287,200,1717249512,12.0
2580162,216781781,200,1717249518,6.0
2580163,214029681,196,1717249617,99.0
2580164,214238694,196,1717249621,4.0
2580165,214447911,196,1717249625,4.0
2580166,214657332,196,1717249628,3.0
2580167,214866958,196,1717249630,2.0
2580168,214866958,196,1717249642,12.0
2580169,214657127,196,1717249660,18.0
2580170,214866753,196,1717249661,1.0
2580171,214866753,196,1717249670,9.0
2580172,214656923,196,1717249689,19.0
2580173,214866548,196,1717249692,3.0
2580174,215076378,196,1717249693,1.0
2580175,215076378,196,1717249704,11.0
2580176,215286413,196,1717249706,2.0
2580177,215496653,196,1717249709,3.0
2580178,215286208,196,1717249728,19.0
2580179,215496448,196,1717249731,3.0
2580180,215706893,196,1717249736,5.0
2580181,215706893,196,1717249743,7.0
2580182,215917544,196,1717249749,6.0
2580183,215917544,196,1717249766,17.0
2580184,216128400,196,1717249768,2.0
2580185,215495214,196,1717249796,28.0
2580186,215705658,196,1717249797,1.0
2580187,215916308,196,1717249798,1.0
2580188,216127163,196,1717249799,1.0
2580189,216127163,196,1717249806,7.0
2580190,216127163,196,1717249816,10.0
2580191,216338224,200,1717249817,1.0
2580192,216338224,200,1717249827,10.0
2580193,216338224,200,1717249836,9.0
2580194,216338224,200,1717249844,8.0
2580195,216126957,196,1717249861,17.0
2580196,215915896,196,1717249879,18.0
2580197,215915896,196,1717249887,8.0
2580198,216126751,196,1717249889,2.0
2580199,216337812,200,1717249890,1.0
2580200,215915278,196,1717249917,27.0
2580201,216126132,196,1717249922,5.0
2580202,216337192,200,1717249926,4.0
2580203,216548458,200,1717249927,1.0
2580204,216336985,200,1717249947,20.0
2580205,216336985,200,1717249958,11.0
2580206,216548251,200,1717249962,4.0
2580207,216548251,200,1717249969,7.0
2580208,216759723,200,1717249972,3.0
2580209,216336365,200,1717249999,27.0
2580210,216547630,200,1717250000,1.0
2580211,216759102,200,1717250011,11.0
2580212,215912390,196,1717250046,35.0
2580213,216123241,196,1717250048,2.0
2580214,216334298,200,1717250052,4.0
2580215,216545561,200,1717250057,5.0
2580216,216757031,200,1717250058,1.0
2580217,216757031,200,1717250068,10.0
2580218,216968707,200,1717250071,3.0
2580219,216756824,200,1717250086,15.0
2580220,216545148,200,1717250102,16.0
2580221,216756617,200,1717250108,6.0
2580222,216968293,200,1717250112,4.0
2580223,217180176,200,1717250116,4.0
2580224,217180176,200,1717250126,10.0
2580225,217392266,200,1717250127,1.0
2580226,217604563,200,1717250128,1.0
2580227,216967051,200,1717250159,31.0
2580228,216543289,200,1717250183,24.0
2580229,216754757,200,1717250186,3.0
2580230,216966431,200,1717250191,5.0
2580231,216118907,196,1717250231,40.0
2580232,216329960,200,1717250232,1.0
2580233,216329960,200,1717250241,9.0
2580234,216541219,200,1717250243,2.0
2580235,216329753,200,1717250260,17.0
2580236,215695976,196,1717250289,29.0
2580237,215906616,196,1717250290,1.0
2580238,216117462,196,1717250291,1.0
2580239,216328514,200,1717250292,1.0
2580240,216539772,200,1717250298,6.0
2580241,216751236,200,1717250303,5.0
2580242,216751236,200,1717250310,7.0
2580243,217174578,200,1717250314,4.0
2580244,216962494,200,1717250330,16.0
2580245,216962494,200,1717250339,9.0
2580246,216962494,200,1717250347,8.0
2580247,216114986,196,1717250383,36.0
2580248,216114986,196,1717250390,7.0
2580249,216114986,196,1717250397,7.0
2580250,216326035,200,1717250405,8.0
2580251,214847250,196,1717250466,61.0
2580252,215057061,196,1717250471,5.0
2580253,215267077,196,1717250477,6.0
2580254,215056856,196,1717250494,17.0
2580255,215056856,196,1717250502,8.0
2580256,215266872,196,1717250506,4.0
2580257,215056651,196,1717250523,17.0
2580258,215266667,196,1717250528,5.0
2580259,215476888,196,1717250529,1.0
2580260,215476888,196,1717250537,8.0
2580261,215476888,196,1717250545,8.0
2580262,215476888,196,1717250556,11.0
2580263,215687314,196,1717250557,1.0
2580264,215687314,196,1717250565,8.0
2580265,215476682,196,1717250579,14.0
2580266,215687108,196,1717250585,6.0
2580267,215897739,196,1717250588,3.0
2580268,216108576,196,1717250589,1.0
2580269,216319619,200,1717250592,3.0
2580270,216530868,200,1717250596,4.0
2580271,216742323,200,1717250599,3.0
2580272,216530661,200,1717250615,16.0
2580273,216530661,200,1717250622,7.0
2580274,216742116,200,1717250628,6.0
2580275,216742116,200,1717250636,8.0
2580276,216318792,200,1717250659,23.0
2580277,215685048,196,1717250690,31.0
2580278,215895677,196,1717250691,1.0
2580279,215474007,196,1717250716,25.0
2580280,215474007,196,1717250726,10.0
2580281,215684430,196,1717250731,5.0
2580282,215684430,196,1717250740,9.0
2580283,215684430,196,1717250751,11.0
2580284,215895059,196,1717250755,4.0
2580285,216105894,196,1717250757,2.0
2580286,216105894,196,1717250768,11.0
2580287,216316934,200,1717250769,1.0
2580288,216528181,200,1717250771,2.0
2580289,216316728,200,1717250787,16.0
2580290,216105482,196,1717250801,14.0
2580291,216316522,200,1717250806,5.0
2580292,216527768,200,1717250808,2.0
2580293,216316316,200,1717250823,15.0
2580294,216105070,196,1717250839,16.0
2580295,216105070,196,1717250850,11.0
2580296,216316110,200,1717250855,5.0
2580297,216316110,200,1717250867,12.0
2580298,215893618,196,1717250889,22.0
2580299,215893618,196,1717250898,9.0
2580300,216104451,196,1717250900,2.0
2580301,216315490,200,1717250903,3.0
2580302,216526735,200,1717250906,3.0
2580303,216738186,200,1717250907,1.0
2580304,216949844,200,1717250908,1.0
2580305,216949844,200,1717250917,9.0
2580306,217161709,200,1717250918,1.0
2580307,216949638,200,1717250936,18.0
2580308,217161502,200,1717250939,3.0
2580309,217161502,200,1717250946,7.0
2580310,216949431,200,1717250961,15.0
2580311,217161295,200,1717250962,1.0
2580312,217161295,200,1717250970,8.0
2580313,216949224,200,1717250987,17.0
2580314,217161088,200,1717250993,6.0
2580315,216949017,200,1717251008,15.0
2580316,216737153,200,1717251026,18.0
2580317,216102182,196,1717251060,34.0
2580318,216313219,200,1717251061,1.0
